Age,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
1 year coverage,17.7,1.1,0.2,0,0,54.9,2.4,0.9,0.1,0.1,62.5,3.4,1.5,0.3,0.2,69,4,1.9,0.5,0.3,71.7,4.3,2.1,0.5,0.2,74.7,4,2,0.4,0.2,74.7,2.7,1.2,0.3,0.1,73.8,2.3,0.9,0.2,0.1,10.8,0.5,0.1,0,0
2 years coverage,0,18.1,17.6,6.8,0.8,54.9,51,50,24.4,1.9,62.7,59.7,59.2,28.3,3.3,69.2,66.8,66.5,32.4,4,72,68.9,66.4,32.8,4.1,74.9,72.7,72.8,33.4,4,74.9,71.7,71.6,32.9,2.9,73.9,67.8,66,29.6,2,11.3,11.3,11.6,3.9,0.5
3 years coverage,0,0,17.6,16.5,6.6,55.2,51,50,48.3,21,63,59.8,59.2,57.9,31,69.8,66.9,66.6,65.2,31.5,72.5,69,66.4,64.6,32.7,75.4,72.7,72.9,69.6,34,75.4,71.8,71.7,69.5,31.7,74.3,67.9,66.1,62.6,26.8,12.1,11.6,11.7,10.9,4.4
4 years coverage,0,0,0,16.5,15.9,57.9,51.3,50,48.3,45.1,68.9,60.2,59.3,58,58.4,75.8,67.5,66.7,65.2,65.9,79.1,69.8,66.7,64.7,65.9,80.6,73.2,72.9,69.7,71.3,80.8,72.2,71.8,69.6,68.7,80,68.4,66.3,62.6,61.1,35.8,12.5,11.9,10.9,11.2
5 years coverage,0,0,0,0,15.9,61.1,54.1,50.3,48.4,45.1,75.4,66.1,59.7,58.1,58.5,82.1,73.6,67.4,65.3,65.9,85.3,78.1,67.5,64.9,66,86.2,78.4,73.6,69.8,71.3,87.1,77.9,72.4,69.7,68.9,85.6,75.4,66.9,62.8,61.3,62.1,33.8,12.8,11.3,11.4
6 years coverage,0,0,0,0,0,61.1,57.5,52.9,48.7,45.2,75.4,72.4,65.1,58.4,58.6,82.1,81.4,73.4,65.9,66.1,85.3,84.2,75.2,65.5,66.1,86.2,85.5,78.1,70.2,71.5,87.2,87.1,77.4,70,69,85.6,82.7,72.2,63.5,61.5,62.1,61.1,32.3,12.2,11.7
7 years coverage,0,0,0,0,0,0,57.5,56.2,51.4,45.4,75.5,72.4,71.5,63.7,58.8,82.1,81.4,78.7,71.1,66.5,85.4,84.2,81.3,71.3,66.7,86.3,85.5,83.2,75.7,71.9,87.2,87.2,83.9,76.1,69.3,85.6,82.7,81.4,72.8,62.3,62.2,61.2,60.7,34,12.3
8 years coverage,0,0,0,0,0,0,0,56.2,55,47.9,75.5,72.4,71.5,70.3,64,82.2,81.4,78.7,77.5,71.6,85.5,84.2,81.3,80.4,74.5,86.4,85.6,83.2,81.4,77.1,87.3,87.2,83.9,83.1,75.6,85.7,82.7,81.4,80.9,69.5,62.6,61.4,60.7,59.8,33.7
9 years coverage,0,0,0,0,0,0,0,0,55,51.6,77,72.5,71.6,70.3,69.8,84.7,81.5,78.7,77.6,77.8,88,84.4,81.4,80.5,80.7,89.4,85.7,83.2,81.4,82.3,90.1,87.3,84,83.2,82.9,89.7,82.9,81.5,81,79.3,71.4,61.8,60.9,59.8,58.3
10 years coverage,0,0,0,0,0,0,0,0,0,51.6,78.2,73.7,71.6,70.3,69.8,86.6,83.9,78.9,77.6,77.8,90.2,87.6,81.6,80.5,80.7,91.3,89.5,83.4,81.5,82.3,92,90.7,84.2,83.2,82.9,92.2,87.8,81.7,81,79.4,80.5,70.5,61.2,59.9,58.4
