Age,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
1 year coverage,13.6,1.6,0.4,0.2,0,48.2,5,1.1,0.3,0.1,55.8,5.5,1.4,0.4,0.2,61.5,5.2,2.1,0.6,0.3,65.1,5.1,2.1,0.6,0.3,68.2,7,2.1,0.5,0.2,68.8,5,1.1,0.3,0.2,69.6,3.3,1,0.2,0.1,11.2,0.7,0.2,0.1,0
2 years coverage,0,13.4,18.4,8.3,1,48.2,50.3,52.1,24.8,2.5,56,62.4,60.1,31.5,3.5,61.8,65.1,66,34.3,4.3,65.5,71.3,72.2,37.4,4.2,68.5,72.4,72.8,36.2,4,69,73.8,76.2,33.5,2.9,69.7,74.8,75.4,36.7,2,11.7,11.2,11.5,4.7,0.6
3 years coverage,0,0,18.4,17.6,8.5,48.5,50.4,52.1,54.6,25.4,56.5,62.6,60.2,62.6,32.6,62.5,65.3,66,69.4,36.1,66,71.5,72.2,72.4,34.3,69,72.6,72.8,76,34.8,69.5,74,76.2,75.9,37.2,70.2,74.9,75.4,75.1,32.3,12.6,11.7,11.6,11.1,4.8
4 years coverage,0,0,0,17.6,17.9,51.3,50.7,52.1,54.6,50.6,64.1,62.9,60.3,62.6,59.6,69.8,65.7,66.2,69.5,66.6,73.3,72,72.4,72.4,68.9,75.1,72.9,73,76,73,75.9,74.4,76.3,75.9,72.5,75.8,75.2,75.5,75.2,68.9,38.5,12.7,12,11.2,11.6
5 years coverage,0,0,0,0,17.9,54.8,52.9,52.3,54.6,50.6,71.8,69.3,60.6,62.8,59.6,76.6,71.5,66.7,69.6,66.6,79.8,77.7,72.8,72.5,69,80.9,77.7,73.4,76.2,73,83,79.8,76.6,76.1,72.5,82.1,80.4,75.8,75.3,69,68.8,37.7,13,11.6,11.6
6 years coverage,0,0,0,0,0,54.8,56.6,54.5,54.9,50.6,71.8,75.9,66.2,63.1,59.7,76.6,78.1,72.8,70,66.8,79.9,83.8,78.3,72.9,69.1,80.9,82.7,78.4,76.5,73.1,83,86.3,81.4,76.4,72.6,82.1,86.8,81.1,75.6,69.1,68.8,65.2,35.1,12.4,11.9
7 years coverage,0,0,0,0,0,0,56.6,57.8,57.5,50.9,71.8,75.9,72.9,68.9,60.1,76.6,78.1,78.7,75.9,67.4,79.9,83.8,84.5,79.3,69.8,81,82.8,83.3,81.6,73.6,83.1,86.3,87.8,81.7,73,82.1,86.8,87.2,81.4,69.6,69,65.3,64,36.6,12.8
8 years coverage,0,0,0,0,0,0,0,57.8,60.7,53.7,72,75.9,72.9,75.3,66,76.8,78.1,78.7,82,73.5,80.4,83.8,84.5,85.5,78.2,81.5,82.8,83.4,86.8,78.8,83.5,86.4,87.8,88,78.8,82.5,86.8,87.2,87,76.7,69.6,65.4,64.2,63.5,34.7
9 years coverage,0,0,0,0,0,0,0,0,60.7,57.1,73.3,76.1,72.9,75.3,72.3,79.2,78.2,78.7,82.1,81.2,83,84,84.6,85.5,84.2,84.2,83,83.4,86.8,86,85.7,86.6,87.9,88,88.1,85,86.9,87.2,87,84.1,74.7,66.2,64.4,63.5,62.7
10 years coverage,0,0,0,0,0,0,0,0,0,57.1,74.9,77.3,73,75.3,72.3,82.2,80.5,78.8,82.1,81.2,85.3,86.2,84.7,85.5,84.3,86.9,85.3,83.5,86.9,86,88.1,89,88.1,88.1,88.1,88.6,89.6,87.3,87,84.1,83.7,75.4,65.2,63.6,62.7
