Age,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
1 year coverage,12.6,3.2,1.1,0.2,0.1,53.3,4.9,2.1,0.3,0.1,58.7,5.1,2,0.3,0.2,64.4,5.4,2.6,0.4,0.3,67.5,5.8,3.1,0.6,0.4,71.4,5.6,2.9,0.5,0.3,72.4,4.6,2.1,0.3,0.2,74.4,4,1.3,0.2,0.1,7.3,2.2,0.5,0.1,0
2 years coverage,0,15.8,16.1,8.7,0.6,53.4,52.6,54.2,27.3,2,59,58.3,59.3,31.6,2.5,64.6,64.4,65.1,35.9,3.2,67.7,67.8,68.8,36.3,3.7,71.6,71.8,73.3,37.3,3.6,72.6,74.2,75,37.7,2.5,74.6,76.3,77.1,37.7,1.8,7.9,10.5,10.7,7.9,0.3
3 years coverage,0,0,16.1,13.7,10.9,53.8,52.7,54.2,51.8,28,59.6,58.5,59.3,57.6,32.5,65.2,64.6,65.2,64.1,37.1,68.3,68,68.8,67.9,38.8,72.3,72,73.4,71.9,38.9,73.3,74.3,75.1,74.6,35,75.1,76.4,77.2,75.9,38.9,9.1,11.1,10.8,10.8,4.1
4 years coverage,0,0,0,13.7,14.3,56.4,53,54.3,51.8,54.2,67.4,59.1,59.5,57.6,60.5,72.3,65.1,65.5,64.2,66.1,75.3,68.5,69.1,68,69.5,77.9,72.4,73.6,72,74.5,78.7,74.7,75.2,74.6,76.5,80.1,76.6,77.3,75.9,78,36.3,12.1,11.3,10.8,11
5 years coverage,0,0,0,0,14.3,59.1,55,54.6,51.9,54.2,75.7,66.1,60.1,57.8,60.6,79.1,71.5,66,64.4,66.2,81.6,74.8,69.7,68.2,69.6,84.3,78,74,72.2,74.5,85.4,79.8,75.6,74.8,76.5,86.6,81.1,77.6,76,78.1,80.3,41.5,12.3,11.4,11.1
6 years coverage,0,0,0,0,0,59.1,57.1,56.5,52.3,54.3,75.7,73,67.5,58.4,60.8,79.1,77.8,73.7,64.9,66.4,81.6,80.5,76.4,68.7,69.8,84.3,83.3,79.8,72.7,74.7,85.4,85,81.9,75.2,76.7,86.6,86.2,82.8,76.3,78.2,80.4,74.3,47,12.6,11.8
7 years coverage,0,0,0,0,0,0,57.1,58.5,55.1,54.6,75.7,73,74,65.5,61.3,79.1,77.8,80.1,71.7,66.9,81.7,80.6,81.9,74.9,70.4,84.4,83.3,84.9,78.5,75.2,85.4,85,86.3,80.8,77,86.6,86.2,87.7,81.6,78.5,80.4,74.3,79.1,42.6,12.9
8 years coverage,0,0,0,0,0,0,0,58.5,58.2,57,75.8,73,74,73.9,67.8,79.4,77.8,80.1,79.1,73.4,81.9,80.6,81.9,81.8,76.6,84.5,83.4,84.9,84.9,80.7,85.6,85.1,86.3,86.7,82.3,86.8,86.3,87.7,88.6,83.2,80.7,74.4,79.1,80.1,45.4
9 years coverage,0,0,0,0,0,0,0,0,58.2,60,77.3,73.1,74.1,73.9,76.4,82.4,78.1,80.1,79.1,80.4,85,80.8,82,81.8,83.6,87.1,83.6,85,84.9,86.1,88.1,85.2,86.4,86.7,88.1,89.3,86.4,87.8,88.6,89.4,85.5,74.7,79.3,80.1,80.1
10 years coverage,0,0,0,0,0,0,0,0,0,60,78.6,74.5,74.2,73.9,76.4,85.4,81.1,80.2,79.1,80.4,87.7,84,82.2,81.9,83.6,89.5,86.4,85.2,85,86.1,90.5,87.7,86.5,86.8,88.1,92,89.1,87.9,88.6,89.4,90.4,79.8,79.5,80.2,80.1
