Age,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
1 year coverage,17.6,1,0.2,0,0,49.9,2.5,0.9,0.2,0.1,58.6,3.9,1.6,0.5,0.2,65.9,5,2,0.6,0.3,65.6,5.1,2.1,0.7,0.3,71.8,5,2.1,0.6,0.2,70.7,3.8,1.2,0.4,0.1,64.9,2.4,0.9,0.3,0.1,11.4,0.5,0.1,0.1,0
2 years coverage,0,16.6,16,8,1,49.9,48.5,45.2,21.9,2,58.8,57.9,58.4,30.2,3.4,66.2,65.3,65.8,34.9,4.1,66,64.5,65.7,34.6,4.1,72,69.4,70.9,36.5,3.9,70.9,69,68.1,35.2,2.7,65.2,61.9,60.3,28.8,1.7,11.7,10.7,11,5.1,0.5
3 years coverage,0,0,16,16.8,8.1,50.2,48.5,45.2,45.7,22.5,59.1,58,58.6,61.2,30.1,67,65.4,65.8,70.2,39,67,64.7,65.8,69.2,33.4,72.8,69.5,71,74.3,37.8,71.7,69.1,68.3,68.6,33.4,65.8,62.1,60.5,59.9,26.6,12.6,11.1,11.1,11.4,5.4
4 years coverage,0,0,0,16.8,17.1,52.8,48.8,45.3,45.7,44.3,64.7,58.4,58.7,61.2,61,73.1,65.9,66,70.3,70.2,74.9,65.3,66,69.2,69.3,77.5,69.9,71.1,74.4,75.4,76.7,69.5,68.4,68.6,69.5,71.2,62.8,60.7,59.9,58.8,31.8,12,11.4,11.4,11.3
5 years coverage,0,0,0,0,17.1,56.1,51.6,45.5,45.7,44.3,71.2,63.7,58.9,61.3,61,78.4,71.1,66.4,70.4,70.2,81,71.2,66.5,69.4,69.3,82.6,75.4,71.5,74.6,75.5,83.2,75.5,68.7,68.7,69.6,80.5,72,61.5,60,58.8,59.7,33.4,12.1,11.6,11.3
6 years coverage,0,0,0,0,0,56.1,55.1,48,45.9,44.4,71.2,70.3,64.1,61.6,61.1,78.4,77.6,71.5,70.7,70.3,81.1,80.3,74.3,69.9,69.5,82.6,81.1,76.7,74.9,75.6,83.3,82.5,74.9,69,69.7,80.5,80.1,68.6,60.4,59,59.7,58.8,33.1,12.3,11.6
7 years coverage,0,0,0,0,0,0,55.1,51.8,49.5,44.5,71.2,70.3,69.8,68.1,61.5,78.5,77.6,77.7,77.1,70.7,81.1,80.3,80.4,79.4,70,82.7,81.1,81.9,81.6,76,83.4,82.5,82.1,77,70.1,80.6,80.1,78.3,69.5,59.5,59.9,58.8,57.2,38.4,12.4
8 years coverage,0,0,0,0,0,0,0,51.8,52.4,47.3,71.3,70.3,69.9,73.2,67.2,78.6,77.6,77.7,82.4,77.5,81.3,80.3,80.4,84.9,80.3,82.9,81.2,81.9,86.6,82.7,83.6,82.5,82.2,83.6,78.7,80.8,80.1,78.4,78.8,68.4,60.2,58.9,57.2,58.1,34
9 years coverage,0,0,0,0,0,0,0,0,52.4,51.3,73.7,70.7,69.9,73.2,72.1,81.5,78.5,77.8,82.4,82.5,85.2,81.7,80.6,85,85.8,86.8,82.7,82.2,86.7,87.9,87.3,83.9,82.4,83.7,85.6,86.5,81.7,78.6,78.9,78.6,70.8,60.8,57.6,58.2,53.9
10 years coverage,0,0,0,0,0,0,0,0,0,51.3,75,72.8,70,73.3,72.1,83.2,81.1,78,82.5,82.5,87.5,84.8,80.9,85,85.8,89.2,85.6,82.4,86.7,88,89.4,86.8,82.6,83.7,85.6,89.3,86.4,79,79,78.7,76.8,70.3,58.1,58.4,54.1
