Age,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
1 year coverage,14.3,1.6,0.5,0.2,0.1,51.2,3.4,1.6,0.2,0.1,56.6,3.6,1.8,0.3,0.2,62.8,3.5,2.2,0.4,0.3,66.1,3.5,2.7,0.5,0.5,70.8,3.6,2.5,0.2,0.3,72.2,3.2,1.8,0.2,0.2,74.4,2.5,1.3,0.1,0.2,9.5,0.7,0.2,0.1,0
2 years coverage,0,14,14.5,7.4,1.5,51.4,52.3,54.7,26.4,2.7,57,58.1,60.8,30.2,3.2,63.2,64.5,66.4,33.8,3.9,66.6,68.1,69.6,32.6,4.5,71.2,71.9,74.4,33.5,4,72.5,74.2,76.1,31.9,2.8,74.6,75.1,77.2,31.4,2.2,10.1,10.7,10.8,4.5,0.5
3 years coverage,0,0,14.5,14.3,7.3,51.8,52.4,54.7,54.4,25,57.6,58.3,60.9,60,28.7,63.9,64.7,66.5,66.6,34,67.4,68.3,69.7,70.5,32.9,71.8,72.1,74.5,74.2,34.6,73.1,74.4,76.1,76.6,34.9,75,75.2,77.2,78.5,34.6,11.1,11.2,10.9,11.2,4.5
4 years coverage,0,0,0,14.3,13.4,54.2,52.8,54.8,54.4,48.1,66,58.8,61.1,60,55.9,72.4,65.2,66.7,66.7,62.4,74.9,68.8,69.9,70.6,66.2,78.5,72.6,74.7,74.2,69.7,80.4,74.8,76.2,76.6,70.5,80.9,75.5,77.3,78.5,71.8,45.7,12.4,11.6,11.3,11.6
5 years coverage,0,0,0,0,13.4,56.5,55.6,55.1,54.5,48.1,73.2,66,61.7,60.1,56,79.5,72,67.3,66.8,62.4,81.2,75,70.5,70.8,66.2,84.1,78.4,75.2,74.3,69.8,85.2,80.4,76.5,76.7,70.6,86.3,80.7,77.7,78.6,71.8,77.8,41.8,12.7,11.7,11.6
6 years coverage,0,0,0,0,0,56.5,58.8,57.6,54.8,48.1,73.2,74.4,68.2,60.6,56.1,79.6,79.4,73.8,67.3,62.6,81.2,81.9,76.8,71.3,66.4,84.2,84.8,80.6,74.7,69.9,85.3,86.2,81.8,77.1,70.8,86.4,87.6,82.3,78.9,71.9,77.8,78.7,44.6,12.6,12.1
7 years coverage,0,0,0,0,0,0,58.8,60.6,57.5,48.4,73.3,74.5,76.8,67.6,56.6,79.6,79.4,80.8,74.2,63.1,81.3,81.9,83.7,77.5,66.8,84.2,84.8,86,80,70.3,85.3,86.2,87.6,82.1,71.1,86.4,87.6,88.5,83.8,72.2,77.9,78.7,78.8,40.4,13
8 years coverage,0,0,0,0,0,0,0,60.6,60.5,51.1,73.4,74.5,76.8,74.6,63.8,79.7,79.5,80.9,80.3,70.1,81.5,82,83.7,83.2,73.7,84.5,84.8,86,85.4,75.9,85.6,86.3,87.6,87.5,77.2,86.6,87.7,88.5,88.9,77.6,78.2,78.8,78.8,72.5,39.8
9 years coverage,0,0,0,0,0,0,0,0,60.5,54.5,74.5,74.6,76.9,74.6,71.3,82.5,79.6,80.9,80.3,76.7,84.1,82.2,83.8,83.2,80.1,87,85.1,86,85.4,81.6,87.9,86.4,87.7,87.5,84.2,89.2,87.8,88.5,88.9,84,83.3,79.2,78.9,72.5,71.1
10 years coverage,0,0,0,0,0,0,0,0,0,54.5,76.3,75.6,77,74.6,71.3,85.7,82,81,80.3,76.7,87.2,84.9,83.9,83.3,80.1,89.7,87.4,86.2,85.5,81.7,90.4,88.7,87.8,87.5,84.2,92,90.1,88.6,89,84,89.4,84.3,79.3,72.6,71.1
