Age,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
1 year coverage,14.9,3.4,0.9,0.2,0,56.6,5.3,1.8,0.3,0.1,61.6,5.3,2,0.2,0.2,67.2,5.5,2.3,0.4,0.2,69.7,5,2.5,0.5,0.4,73.3,5,2.5,0.4,0.3,74.8,4.3,1.8,0.2,0.2,76.2,3.7,1.3,0.1,0.1,9.7,2.4,0.4,0.1,0
2 years coverage,0,15.9,15.7,10.4,0.8,56.7,57.6,52.4,30.9,2.3,61.8,63,58.2,33.2,3,67.5,68.3,64.2,35.4,3.7,70,71.1,67.7,37.8,4.1,73.6,75.1,71.8,38.2,3.9,75,76.1,74.4,37.1,2.9,76.4,77.8,76.6,36.9,1.9,10.4,9.9,10.5,6.9,0.3
3 years coverage,0,0,15.7,15.9,8.6,56.8,57.6,52.4,54,27.2,62,63.2,58.2,59.1,31.5,67.8,68.4,64.2,65,35.9,70.3,71.2,67.8,68.8,36.3,73.9,75.2,71.9,73.4,37.4,75.3,76.2,74.4,75.2,37.8,76.6,77.9,76.6,77.6,37.9,11.3,10.4,10.6,10.8,8
4 years coverage,0,0,0,15.9,13.6,59.8,57.9,52.5,54,51.5,69.5,63.6,58.4,59.1,57.5,74.8,68.8,64.4,65,64.1,76.9,71.5,68,68.8,67.9,79.8,75.5,72.1,73.5,72,80.9,76.5,74.5,75.2,74.8,81.4,78.1,76.7,77.6,76.3,41.8,11.4,11.2,10.9,10.9
5 years coverage,0,0,0,0,13.6,60.7,59.6,52.8,54.1,51.5,76.7,70.1,58.9,59.4,57.5,80.7,74.6,64.9,65.3,64.1,82.3,77.2,68.5,69.1,67.9,84.4,79.9,72.5,73.7,72.1,85.9,80.7,74.9,75.4,74.9,86.7,82.1,76.9,77.7,76.4,79.7,37.9,12.1,11.4,10.9
6 years coverage,0,0,0,0,0,60.7,61.7,54.8,54.4,51.6,76.8,77.2,66,60,57.7,80.7,80.2,71.3,65.8,64.3,82.3,82.5,74.8,69.7,68.2,84.4,85.2,78.1,74.1,72.3,85.9,86.3,80.1,75.8,75.1,86.7,87.5,81.5,78,76.4,79.7,81.3,41.9,12.4,11.5
7 years coverage,0,0,0,0,0,0,61.7,56.9,56.3,52,76.8,77.2,72.8,67.4,58.2,80.8,80.2,77.5,73.5,64.8,82.4,82.5,80.5,76.3,68.7,84.5,85.2,83.4,79.9,72.7,85.9,86.3,85.3,82.1,75.4,86.8,87.5,86.6,83.3,76.7,79.8,81.3,74.8,47.5,12.7
8 years coverage,0,0,0,0,0,0,0,56.9,58.2,54.8,76.9,77.2,72.8,73.8,65.3,81,80.3,77.5,79.9,71.6,82.5,82.6,80.5,81.9,74.9,84.7,85.3,83.4,85,78.6,86.2,86.3,85.3,86.4,81.1,86.9,87.5,86.6,88.2,82.1,80.2,81.3,74.8,79.9,43
9 years coverage,0,0,0,0,0,0,0,0,58.2,57.9,78.1,77.3,72.8,73.8,73.7,83.7,80.5,77.6,79.9,79,85.3,82.7,80.6,81.9,81.8,87.3,85.4,83.5,85,84.9,88.6,86.5,85.3,86.5,87,89.5,87.7,86.7,88.2,89.1,84.6,81.6,74.9,79.9,80.8
10 years coverage,0,0,0,0,0,0,0,0,0,57.9,79.3,78.6,72.9,73.9,73.7,87.1,83.2,77.8,79.9,79,88.3,85.6,80.8,81.9,81.8,90,87.8,83.6,85.1,84.9,90.9,88.8,85.5,86.5,87,92.3,90.1,86.8,88.3,89.1,90.6,86.4,75.2,80,80.8
